DMA,Total Population,Total Female GenZ,City_Size,Real_GenZ_Percentage,Index_vs_National
Odessa-Midland,488456,47150,Medium (100K-500K),9.652865355323714,100.49765216584213
Oklahoma City,2035395,211150,Metropolitan (>2M),10.373907767288413,108.00454953227889
Omaha,1212981,115618,Very Large (1M-2M),9.531723909937584,99.23642760783375
Orlando-Daytona Bch-Melbrn,4926980,444291,Metropolitan (>2M),9.017511741472465,93.88287570965564
Ottumwa-Kirksville,141124,14061,Medium (100K-500K),9.963578129871602,103.73253664734747
Paducah-Cape Girard-Harsbg,960295,86790,Large (500K-1M),9.03784774470345,94.09459735954105
Palm Springs,439646,37070,Medium (100K-500K),8.431783753292422,87.78476023273646
Panama City,488118,37663,Medium (100K-500K),7.715962123912661,80.33221733753089
Parkersburg,127928,10574,Medium (100K-500K),8.265586892627102,86.05445594697466
Peoria-Bloomington,597268,59031,Large (500K-1M),9.883502883127843,102.89885939213642
Philadelphia,8403027,807343,Metropolitan (>2M),9.60776396410484,100.02809377462205
Phoenix (Prescott),5971538,576753,Metropolitan (>2M),9.658366069176818,100.55492104996348
Pittsburgh,2961047,269525,Metropolitan (>2M),9.102354673870424,94.766190165519
"Portland, OR",3640037,330435,Metropolitan (>2M),9.077792341121807,94.51046746743012
Portland-Auburn,1073233,84808,Very Large (1M-2M),7.902105134672527,82.27018444468945
Presque Isle,62680,4513,Small (<100K),7.200063816209318,74.96111075186586
Providence-New Bedford,1567233,150573,Very Large (1M-2M),9.60756951901855,100.02606937316942
Quincy-Hannibal-Keokuk,230776,20697,Medium (100K-500K),8.968436925850174,93.3719493091551
Raleigh-Durham (Fayetvlle),3326007,332899,Metropolitan (>2M),10.008968712332836,104.20510585865202
Rapid City,265310,23340,Medium (100K-500K),8.79725604010403,91.58975547552114
Reno,814456,72873,Large (500K-1M),8.947444674727672,93.15339534887183
Richmond-Petersburg,1575884,150306,Very Large (1M-2M),9.537884768168215,99.3005693693433
Roanoke-Lynchburg,1065540,106678,Very Large (1M-2M),10.011637291889558,104.23288890235938
"Rochester, NY",1064071,102224,Very Large (1M-2M),9.606877736542016,100.01886710605577
Rochestr-Mason City-Austin,436806,37481,Medium (100K-500K),8.580697151595903,89.33512340000918
Rockford,483509,42264,Medium (100K-500K),8.741098924735631,91.00509402638804
Sacramnto-Stkton-Modesto,4548545,431721,Metropolitan (>2M),9.491408791162888,98.81669992755387
Salisbury,457155,36553,Medium (100K-500K),7.995756362721615,83.24520359132973
Salt Lake City,3619385,412570,Metropolitan (>2M),11.398897879059563,118.67589901602503
San Angelo,144413,14344,Medium (100K-500K),9.932623794256749,103.41026570093565
San Antonio,2794006,288872,Metropolitan (>2M),10.338989966378024,107.64101426258273
San Diego,3229836,325395,Metropolitan (>2M),10.074660137542587,104.88903065797255
San Francisco-Oak-San Jose,7795853,697779,Metropolitan (>2M),8.95064337411185,93.18669756186881
Santabarbra-Sanmar-Sanluob,702245,79190,Large (500K-1M),11.276691183276492,117.40358395173476
Savannah,1046581,108438,Very Large (1M-2M),10.36116650311825,107.87189802543693
Seattle-Tacoma,5752672,515971,Metropolitan (>2M),8.969240728482347,93.38031783750027
Sherman-Ada,321626,29359,Medium (100K-500K),9.128304303756538,95.03635625425335
Shreveport,1100197,99700,Very Large (1M-2M),9.062013439411306,94.34619059032786
Sioux City,444686,40901,Medium (100K-500K),9.197726035899487,95.75911792478723
Sioux Falls(Mitchell),722155,67780,Large (500K-1M),9.38579667799849,97.71715393549862
South Bend-Elkhart,800738,74210,Large (500K-1M),9.267700546246088,96.48763466488755
Spokane,1264575,119832,Very Large (1M-2M),9.476069035051301,98.65699507129987
"Springfield, MO",1092523,98855,Very Large (1M-2M),9.048322094820888,94.20364763176774
Springfield-Holyoke,668812,73307,Large (500K-1M),10.960778215701872,114.11455936045283
St. Joseph,108081,9920,Medium (100K-500K),9.178301459090866,95.55688529315678
St. Louis,3200100,288026,Metropolitan (>2M),9.000531233398956,93.70608870070501
Syracuse,949880,102562,Large (500K-1M),10.797363877542427,112.41322439816604
Tallahassee-Thomasville,757429,88524,Large (500K-1M),11.687432089344348,121.67987862578451
Tampa-St. Pete (Sarasota),5384459,445603,Metropolitan (>2M),8.275724636402654,86.16000175230798
Terre Haute,357247,32852,Medium (100K-500K),9.195878481834697,95.73988271959932
Toledo,1001953,96737,Very Large (1M-2M),9.65484408949322,100.51825310980806
Topeka,526681,59402,Large (500K-1M),11.278553811510193,117.4229760967046
Traverse City-Cadillac,644138,47953,Large (500K-1M),7.4445227575457436,77.50621510698966
"Tri-Cities, TN-VA",821895,69276,Large (500K-1M),8.428813899585712,87.75384057170174
Tucson (Sierra Vista),1171751,111305,Very Large (1M-2M),9.4990317908839,98.89606429722261
