DMA,Total Population,Total Female GenZ,GenZ Female %,Real_GenZ_Percentage,Index_vs_National
Victoria,99347,9549,0.08624377,9.611764824302696,100.06974742270765
Philadelphia,8403027,807343,0.0917363774876033,9.60776396410484,100.02809377462205
Providence-New Bedford,1567233,150573,0.09260311773195876,9.60756951901855,100.02606937316942
"Rochester, NY",1064071,102224,0.08886421847572815,9.606877736542016,100.01886710605577
Norfolk-Portsmth-Newpt Nws,2028761,194861,0.08646355617837838,9.604926356529923,99.99855095095778
"Washington, DC (Hagrstwn)",7507735,720988,0.08821011341841005,9.603269161737861,99.98129760911024
Wichita Falls & Lawton,391914,37617,0.08468596396,9.598279214317426,99.9293464027352
Boise,971390,93100,0.0781982907260274,9.584204078691359,99.78280772926709
Eureka,161455,15442,0.07402356379411765,9.564274875352265,99.57532134347491
Greenville-N.Bern-Washngtn,856648,81870,0.07815040495535715,9.557017584818968,99.49976443546528
New York,22164623,2117855,0.08765199897261568,9.555114021113736,99.47994610421522
Charlotte,3716074,354719,0.09125208524352332,9.545531116979909,99.38017683043697
Cincinnati,2696521,257341,0.09321621553960396,9.543445053830473,99.35845846588188
Richmond-Petersburg,1575884,150306,0.07828611550887574,9.537884768168215,99.3005693693433
Twin Falls,215113,20507,0.0892000149,9.533129099589518,99.25105728054426
Omaha,1212981,115618,0.07968015183486238,9.531723909937584,99.23642760783375
Colorado Springs-Pueblo,999740,95248,0.08043856768235294,9.527277092043931,99.19013101698006
Meridian,144476,13740,0.094607672,9.510230072814863,99.01265154887554
Chico-Redding,440720,41894,0.06557424256451613,9.505808676710837,98.96661962867427
Tucson (Sierra Vista),1171751,111305,0.08175580528070175,9.4990317908839,98.89606429722261
Sacramnto-Stkton-Modesto,4548545,431721,0.0821041449755102,9.491408791162888,98.81669992755387
Huntsville-Decatur (Flor),933298,88549,0.09219774721333333,9.48775203632709,98.77862881995874
Spokane,1264575,119832,0.07309407058767772,9.476069035051301,98.65699507129987
Joplin-Pittsburg,456805,43267,0.08176012032231406,9.47165639605521,98.6110543228652
Lake Charles,235584,22296,0.08730068728000001,9.464140179299104,98.53280168912868
Little Rock-Pine Bluff,1432694,135224,0.08080857043673469,9.438442542510822,98.26525914415694
Macon,767220,72304,0.08662344968041237,9.424154740491646,98.1165063640567
Milwaukee,2411104,226801,0.08587848330722891,9.40652083029185,97.93291667246264
Sioux Falls(Mitchell),722155,67780,0.07494148810932476,9.38579667799849,97.71715393549862
Hartford & New Haven,2652515,248890,0.0841452895462963,9.383170311949225,97.68981038392471
Las Vegas,2429777,227686,0.08592082090789473,9.37065417937531,97.55950276110251
Tulsa,1399780,130982,0.08454921107999999,9.357327580048294,97.4207572286186
Baltimore,2993193,279809,0.0861481303169399,9.348177681826732,97.32549605434806
Minneapolis-St. Paul,5166592,482447,0.07969188767972743,9.337818817510653,97.21764812479043
Dayton,1096048,102183,0.09410833820952381,9.322858123001913,97.06188974450082
Ft. Wayne,918406,85241,0.08724731249579833,9.281407133664196,96.63033631916537
Anchorage,455973,42273,0.08096874771875,9.270943674296504,96.52139943241953
South Bend-Elkhart,800738,74210,0.0864153831375,9.267700546246088,96.48763466488755
"Lafayette, LA",720861,66799,0.0893589028,9.266557630389215,96.4757355700581
Erie,388040,35945,0.10070560122413794,9.263220286568394,96.4409899058313
Detroit,5122203,473989,0.08803701061956522,9.253616071053802,96.3409987555788
Greenwood-Greenville,176225,16284,0.08566580144897959,9.2404596396652,96.20402487095849
Albuquerque-Santa Fe,1830777,169138,0.07696987350000001,9.238591046315307,96.18457062213139
Augusta-Aiken,757713,69902,0.08380012526027397,9.225392727853423,96.04716064394032
"Alexandria, LA",205436,18944,0.0860234100967742,9.221363344301874,96.00521003428192
Sioux City,444686,40901,0.07741050052763819,9.197726035899487,95.75911792478723
Terre Haute,357247,32852,0.08608776670329671,9.195878481834697,95.73988271959932
Buffalo,1614431,148232,0.08583175577272727,9.181686922513258,95.59213193888525
St. Joseph,108081,9920,0.08235243455999999,9.178301459090866,95.55688529315678
Chattanooga,1071501,98278,0.08722278533636363,9.171993306585808,95.49121002545891
Biloxi-Gulfport,343697,31487,0.09018788764705883,9.161267046264587,95.37953707249393
Greenvll-Spart-Ashevll-And,2368415,216798,0.08509222871257485,9.153716726164966,95.30092938294462
Casper-Riverton,98222,8976,0.07051651191304348,9.138482213760666,95.14232023714531
Sherman-Ada,321626,29359,0.07926437108695651,9.128304303756538,95.03635625425335
Pittsburgh,2961047,269525,0.08115484139759037,9.102354673870424,94.766190165519
"Portland, OR",3640037,330435,0.07610454496,9.077792341121807,94.51046746743012
Louisville,1895697,171889,0.08395511119704434,9.067324577714688,94.40148577058474
Shreveport,1100197,99700,0.0829751259263158,9.062013439411306,94.34619059032786
"Springfield, MO",1092523,98855,0.0735826519661017,9.048322094820888,94.20364763176774
Albany-Schenectady-Troy,1365285,123410,0.07304214906589147,9.039138348403448,94.10803405807066
Paducah-Cape Girard-Harsbg,960295,86790,0.0786230423067729,9.03784774470345,94.09459735954105
Jacksonville,2111025,190679,0.08487272545918369,9.032531590104332,94.03924995376094
Orlando-Daytona Bch-Melbrn,4926980,444291,0.08444752321276595,9.017511741472465,93.88287570965564
Mobile-Pensacola (Ft Walt),1549864,139732,0.09015382994326242,9.015758802062633,93.8646255540187
Grand Junction-Montrose,189805,17085,0.0754322629,9.001343484102104,93.7145451833795
St. Louis,3200100,288026,0.08331894185359116,9.000531233398956,93.70608870070501
Utica,262673,23600,0.07434605561428571,8.984554940934165,93.53975675429069
Bismarck-Mnt-Dcknsn(Wlstn),443676,39795,0.06881677327196653,8.969383063316474,93.38179971009713
Seattle-Tacoma,5752672,515971,0.08196160700330034,8.969240728482347,93.38031783750027
Quincy-Hannibal-Keokuk,230776,20697,0.07444613368867924,8.968436925850174,93.3719493091551
Cleveland-Akron (Canton),3917055,351179,0.08842204569892473,8.965383432195871,93.34015885814757
Dothan,281380,25207,0.08449400564864865,8.958348141303576,93.26691322682946
San Francisco-Oak-San Jose,7795853,697779,0.08415740862790698,8.95064337411185,93.18669756186881
Reno,814456,72873,0.07969600795238095,8.947444674727672,93.15339534887183
"Jackson, TN",294706,26314,0.07910036636206896,8.92889863117819,92.96030927908009
Burlington-Plattsburgh,896009,79849,0.07106378277391304,8.911629235867052,92.78051461509091
"Charleston, SC",1044119,93007,0.08634674056338028,8.907701133683037,92.73961846328213
Miami-Ft. Lauderdale,4791859,426731,0.09005597143971632,8.905332982460461,92.71496323096696
Flint-Saginaw-Bay City,1032614,91808,0.0806048387037037,8.890834329187868,92.56401524196816
Cheyenne-Scottsbluff,130012,11554,0.08682028526086957,8.886871981047904,92.52276254958389
Knoxville,1503459,133190,0.08489588192810457,8.858904699097216,92.23159033594122
Evansville,725970,64266,0.0810583180283688,8.852431918674325,92.164201098493
Zanesville,62857,5551,0.08397492200000001,8.831156434446443,91.94269834932078
Harrisburg-Lncstr-Leb-York,2074166,182737,0.08421723745355192,8.810143450427786,91.72392853526667
Beaumont-Port Arthur,462311,40686,0.08342124321951219,8.800569313730367,91.62425054078653
Rapid City,265310,23340,0.07410819054347825,8.79725604010403,91.58975547552114
Rockford,483509,42264,0.080730842,8.741098924735631,91.00509402638804
Juneau,55658,4848,0.0817987634,8.710338136476338,90.68483813499878
Wilkes Barre-Scranton-Hztn,1419972,123192,0.07592893447346939,8.675664027178001,90.32383998085974
Lima,101646,8818,0.08064309381818181,8.675206107471027,90.3190724995226
Green Bay-Appleton,1171465,101546,0.07257408559477124,8.66829141288899,90.24708241726633
Myrtle Beach-Florence,709316,61482,0.08386077800000001,8.667786994794985,90.24183083317274
Honolulu,1417614,122267,0.08569680329032259,8.624844280601067,89.79474680213553
Davenport-R.Island-Moline,667021,57437,0.0744693926025641,8.610973267708214,89.6503332857774
Billings,297275,25587,0.07210862907446809,8.607181902279034,89.61086072399293
Wilmington,620474,53318,0.07847083186792453,8.593107849805149,89.46433332740966
Rochestr-Mason City-Austin,436806,37481,0.07446770676859503,8.580697151595903,89.33512340000918
Great Falls,172967,14815,0.07095093688372094,8.565217642671724,89.17396355303148
Missoula,342271,29230,0.07369320984482759,8.540016536604037,88.91159047534342
Duluth-Superior,404570,34502,0.06372541156692914,8.528066836394196,88.78718007791542
Marquette,212187,17933,0.06484443284285714,8.451507396777371,87.99010649930385
North Platte,34008,2869,0.07915552736363636,8.436250294048458,87.83126216172454
Palm Springs,439646,37070,0.0767508274375,8.431783753292422,87.78476023273646
"Tri-Cities, TN-VA",821895,69276,0.07656243213071895,8.428813899585712,87.75384057170174
Charleston-Huntington,1024601,85613,0.07903394990384616,8.355740429689215,86.99306002728451
Glendive,9544,794,0.05267603083333333,8.319362950544845,86.61432779481794
Tampa-St. Pete (Sarasota),5384459,445603,0.0793194793173913,8.275724636402654,86.16000175230798
Parkersburg,127928,10574,0.07667573255,8.265586892627102,86.05445594697466
Bangor,342746,28161,0.0680036246948052,8.216288446838185,85.54120129409806
Elmira (Corning),213182,17482,0.07659519604838709,8.200504733045005,85.37687431757006
Youngstown,553492,45119,0.0796562573768116,8.151698669538131,84.86874594186526
Clarksburg-Weston,189365,15262,0.0703424751,8.059567501914293,83.9095524074411
Wausau-Rhinelander,398087,32032,0.0635615971,8.046482301607437,83.77332012194326
Salisbury,457155,36553,0.068417496203125,7.995756362721615,83.24520359132973
Wheeling-Steubenville,302091,23977,0.07801186812987013,7.937012357203624,82.63360958104765
Portland-Auburn,1073233,84808,0.0657827758607595,7.902105134672527,82.27018444468945
Bluefield-Beckley-Oak Hill,297004,23237,0.07624173033116882,7.823800352857201,81.45493980632321
West Palm Beach-Ft. Pierce,2234142,173358,0.074695888875,7.7594888776093915,80.78538190493158
Panama City,488118,37663,0.07533260530612244,7.715962123912661,80.33221733753089
"Bend, OR",98959,7613,0.06913757666666666,7.693085015006215,80.09403979658218
Medford-Klamath Falls,478393,36531,0.06207028016901409,7.636190328871868,79.50169937052819
Traverse City-Cadillac,644138,47953,0.06501087781879195,7.4445227575457436,77.50621510698966
Presque Isle,62680,4513,0.06467560215151515,7.200063816209318,74.96111075186586
Helena,39739,2824,0.05165714766666667,7.106369058104129,73.9856384062763
Ft. Myers-Naples,1462505,103314,0.07159274690769231,7.064180977159053,73.54641099262295
Alpena,12907,830,0.06024848755555555,6.43061904392965,66.95028803353794
