DMA,2024 Females Age 15-19,2024 Females Age 20-24,2024 Females Age 25-29,Total Female GenZ,Total Population,Age_15_19_Percentage,Age_20_24_Percentage,Age_25_29_Percentage,GenZ_Concentration,GenZ_Index,Age_Variance,Region
Abilene-Sweetwater,9059,9063,7469,25591,261606,35.399163768512366,35.4147942636083,29.186041967879333,9.782267990795319,101.84488540387713,12.900080330571212,Other
"Albany, GA",14200,13433,12218,39851,413757,35.63273192642594,33.70806253293519,30.65920554063888,9.631498681593301,100.27520002697376,6.289307657305709,Other
Albany-Schenectady-Troy,41496,43067,38847,123410,1365285,33.624503686897334,34.897496151041246,31.47800016206142,9.039138348403448,94.10803405807066,2.986823335758218,Other
Albuquerque-Santa Fe,57998,57173,53967,169138,1830777,34.290342797006,33.80257541179392,31.90708179120009,9.238591046315307,96.18457062213139,1.5851243515972548,Other
"Alexandria, LA",6325,6502,6117,18944,205436,33.387880067567565,34.32221283783784,32.2899070945946,9.221363344301874,96.00521003428192,1.0347981681665814,Other
Alpena,304,254,272,830,12907,36.626506024096386,30.602409638554217,32.7710843373494,6.43061904392965,66.95028803353794,9.309527265689262,Other
Amarillo,19322,18867,16680,54869,551300,35.2147843044342,34.385536459567334,30.399679235998466,9.95265735534192,103.618838573287,6.626657769161321,Other
Anchorage,13620,14260,14393,42273,455973,32.21914697324533,33.73311570032882,34.04773732642585,9.270943674296504,96.52139943241953,0.9558051256566013,Other
Atlanta,250269,270390,260904,781563,7616406,32.02160286502816,34.596059434748064,33.38233770022378,10.261572190348046,106.83500439499218,1.658757728324247,Southeast
Augusta-Aiken,23637,23284,22981,69902,757713,33.8144831335298,33.309490429458386,32.87602643701182,9.225392727853423,96.04716064394032,0.2206016058587532,Other
Austin,94363,108312,106284,308959,2913456,30.54224023252276,35.05707877096961,34.400680996507624,10.604553492484527,110.40584210304014,5.950365032623937,Texas
Bakersfield,32386,29396,27214,88996,844849,36.39039956851993,33.03069800889928,30.57890242258079,10.533953404691253,109.6708123678524,8.51206587401118,Other
Baltimore,89677,94639,95493,279809,2993193,32.04936224353041,33.82271478043952,34.12792297603008,9.348177681826732,97.32549605434806,1.259724330251195,Other
Bangor,9873,9964,8324,28161,342746,35.05912432086929,35.38226625474948,29.55860942438124,8.216288446838185,85.54120129409806,10.71251061896891,Other
Baton Rouge,30973,33138,29518,93629,921770,33.08056264618868,35.39288041098378,31.526556942827543,10.157523026351475,105.75173053727625,3.7850340553135995,Other
Beaumont-Port Arthur,14104,13203,13379,40686,462311,34.66548689967065,32.45096593422799,32.883547166101366,8.800569313730367,91.62425054078653,1.3777564737711898,Other
"Bend, OR",2710,2494,2409,7613,98959,35.597005122816235,32.7597530539866,31.64324182319716,7.693085015006215,80.09403979658218,4.154806809995281,Other
Billings,9030,8416,8141,25587,297275,35.29135889318795,32.891702817837185,31.81693828897487,8.607181902279034,89.61086072399293,3.1641777679081358,Other
Biloxi-Gulfport,10738,10294,10455,31487,343697,34.10296312763998,32.692857369708136,33.20417950265189,9.161267046264587,95.37953707249393,0.5096100961229045,Other
Binghamton,13746,16553,10085,40384,382316,34.038232963549916,40.98900554675119,24.97276148969889,10.56298977808933,109.97311507761806,64.50268104027536,Other
Birmingham (Ann and Tusc),70613,75464,65322,211399,2097879,33.402712406397384,35.697425247990765,30.89986234561185,10.076796612197366,104.9112738654362,5.757762542405017,Other
Bismarck-Mnt-Dcknsn(Wlstn),13441,12979,13375,39795,443676,33.77559994974243,32.61465008166855,33.60974996858902,8.969383063316474,93.38179971009713,0.3942557662297458,Other
Bluefield-Beckley-Oak Hill,8335,7649,7253,23237,297004,35.8695184404183,32.917330120067135,31.21315143951457,7.823800352857201,81.45493980632321,5.550232416862146,Other
Boise,32896,30808,29396,93100,971390,35.33404940923738,33.091299677765846,31.574650912996777,9.584204078691359,99.78280772926709,3.5772044812045483,Other
Boston (Manchester),200579,238065,237338,675982,6982093,29.67223979336728,35.21765372450746,35.11010648212526,9.681652765152226,100.79736287278843,10.05559603362188,Massachusetts
Bowling Green,7036,7644,5663,20343,180789,34.58683576660276,37.57557882318242,27.837585410214814,11.252343892604086,117.15010009392599,24.8855801904094,Other
Buffalo,48429,51336,48467,148232,1614431,32.67108316692752,34.63219817583248,32.696718657240005,9.181686922513258,95.59213193888525,1.2654517039011368,New York
Burlington-Plattsburgh,27368,29251,23230,79849,896009,34.274693483950955,36.63289458853586,29.09241192751318,8.911629235867052,92.78051461509091,14.879338890174056,Other
Butte-Bozeman,8245,9914,8367,26526,254487,31.082711302118675,37.37465128553118,31.54263741235015,10.423322212922468,108.51901187962328,12.3020710997856,Other
Casper-Riverton,3316,3016,2644,8976,98222,36.94295900178253,33.60071301247772,29.45632798573975,9.138482213760666,95.14232023714531,14.066029912207961,Other
Cedar Rapids-Wtrlo-IWC&Dub,32730,39184,29197,101111,970260,32.37036524215961,38.753449179614485,28.87618557822591,10.421021169583412,108.49505531910009,25.085564721292975,Other
Champaign&Sprngfld-Decatur,30949,35071,26646,92666,905938,33.398441715408026,37.846675155936374,28.7548831286556,10.228735299766651,106.4931338429455,20.668349892893854,Other
"Charleston, SC",29879,31008,32120,93007,1044119,32.125538937929406,33.33942606470481,34.535034997365784,8.907701133683037,92.73961846328213,1.4514456561415325,Other
