DMA,Zip,Region,Total Population,Total Female GenZ,GenZ Female %,Index_vs_National,2024 Females Age 15-19,2024 Females Age 20-24,2024 Females Age 25-29,Age_15_19_Percentage,Age_20_24_Percentage,Age_25_29_Percentage
Philadelphia,8544,Pennsylvania,4368,1880,0.43040293,4.480999408786298,612,1177,91,32.5531914893617,62.60638297872341,4.840425531914894
Buffalo,14261,New York,5911,2542,0.430045678,4.4772799963724745,1412,1093,37,55.54681353265145,42.997639653815895,1.4555468135326515
Baltimore,21251,Other,1397,597,0.427344309,4.449155576095146,162,409,26,27.1356783919598,68.50921273031825,4.355108877721943
Salt Lake City,84112,Mountain West,3008,1282,0.426196809,4.437208754958073,461,750,71,35.9594383775351,58.50234009360374,5.538221528861154
Cedar Rapids-Wtrlo-IWC&Dub,52242,Other,2243,954,0.425323228,4.428113751946531,307,456,191,32.18029350104822,47.79874213836478,20.020964360587
Chicago,60208,Illinois,2943,1248,0.424057085,4.414931717998854,798,444,6,63.942307692307686,35.57692307692308,0.4807692307692308
Boston (Manchester),2215,Massachusetts,26234,11006,0.419531905,4.367819285691176,1936,5766,3304,17.590405233508996,52.38960566963474,30.019989096856257
Greensboro-H.Point-W.Salem,27268,Other,1551,650,0.419084462,4.363160879163912,344,290,16,52.92307692307693,44.61538461538462,2.4615384615384617
San Francisco-Oak-San Jose,94720,West Coast,1196,501,0.418896321,4.361202110644914,133,305,63,26.546906187624753,60.87824351297405,12.574850299401197
Salt Lake City,84113,Mountain West,147,61,0.414965986,4.320282712602405,22,36,3,36.0655737704918,59.01639344262295,4.918032786885246
