DMA,High_Conc_ZIPs,Total_Population,Total_Female_GenZ,Avg_GenZ_Percentage
Yuma-El Centro,7,190826,21042,0.11166357085714286
"Springfield, MO",7,168422,23306,0.13959264685714287
Champaign&Sprngfld-Decatur,6,133071,27593,0.17555977366666667
"Charleston, SC",6,96368,13931,0.1866359261666667
Eugene,6,149172,28561,0.24075901649999998
Peoria-Bloomington,6,112252,18553,0.14773532266666667
Tyler-Longview(Lfkn&Ncgd),6,162655,21247,0.13826375716666667
Reno,6,174069,22043,0.16970760966666668
Laredo,6,271625,32687,0.11870782433333334
Monroe-El Dorado,6,127398,17996,0.16605546616666667
Columbia-Jefferson City,6,155405,26074,0.20802858916666667
Corpus Christi,6,108590,14229,0.13577284516666668
Columbus-Tupelo-West Point,5,68929,11298,0.148459711
Davenport-R.Island-Moline,5,97365,11098,0.11903558919999999
Duluth-Superior,5,88716,11934,0.151236268
Gainesville,5,132871,32887,0.3106675498
"Albany, GA",5,66019,7953,0.12191316859999998
Flint-Saginaw-Bay City,5,69122,12944,0.22710910439999998
Binghamton,5,107083,18768,0.1728164134
Billings,5,6165,744,0.12340354039999998
Wichita Falls & Lawton,5,51096,7330,0.148125877
Odessa-Midland,5,104004,11146,0.10715356979999999
Green Bay-Appleton,5,142335,17612,0.1211510478
Johnstown-Altoona-St Colge,5,89179,21888,0.2434121962
Augusta-Aiken,5,102995,12672,0.131975376
Anchorage,4,58696,7500,0.14465946625
Boise,4,108266,15036,0.1480769565
Fairbanks,4,29577,3877,0.170940318
Salisbury,4,90620,10907,0.118185305
Utica,4,59395,7065,0.12912604625
Greenwood-Greenville,4,23966,2993,0.13901988875
Harrisonburg,4,85479,16171,0.2592834035
Great Falls,4,12403,1419,0.12362658925
"Tri-Cities, TN-VA",4,77730,10586,0.1227221165
Meridian,4,11494,1946,0.17557989075
Marquette,4,50216,6541,0.1339987085
Cheyenne-Scottsbluff,4,2769,387,0.12876373275
Abilene-Sweetwater,3,59128,8002,0.14132320166666668
San Angelo,3,40505,4906,0.23014794066666666
Sherman-Ada,3,58123,6488,0.11081149333333333
Myrtle Beach-Florence,3,91345,12808,0.14824337733333334
Missoula,3,53808,7860,0.2694201756666667
West Palm Beach-Ft. Pierce,3,69910,10194,0.14690890166666667
Youngstown,3,15793,2067,0.13718123233333332
Hattiesburg-Laurel,3,106037,15610,0.14036670766666667
"Lafayette, IN",3,25280,4866,0.262897044
Joplin-Pittsburg,3,74049,9404,0.12567108899999999
Jonesboro,3,100270,12185,0.11569304633333333
Palm Springs,3,123693,14355,0.12124506800000001
Butte-Bozeman,3,98883,13904,0.13314033466666667
Charleston-Huntington,3,9196,2338,0.18217086633333332
Charlottesville,3,47292,11536,0.27395778633333334
Wilmington,2,42177,8691,0.162567998
St. Joseph,2,15494,1845,0.127585539
Terre Haute,2,14742,3708,0.38448465649999997
Quincy-Hannibal-Keokuk,2,21006,3713,0.16777175700000002
Rochestr-Mason City-Austin,2,30285,3547,0.1494576805
Twin Falls,2,2752,298,0.108235179
"Lafayette, LA",2,44475,5377,0.126413958
Eureka,2,24980,4608,0.1550902975
Bangor,2,19927,4148,0.20040164900000002
Casper-Riverton,2,2415,269,0.1114357865
Chico-Redding,2,78560,12182,0.1546091055
Dothan,2,13851,1712,0.130945379
Grand Junction-Montrose,2,38124,5286,0.132715
Wheeling-Steubenville,2,18546,2643,0.18421766299999998
La Crosse-Eau Claire,2,84404,14620,0.1727490495
"Alexandria, LA",1,9597,1548,0.161300406
Elmira (Corning),1,6889,1173,0.170271447
Bluefield-Beckley-Oak Hill,1,1975,292,0.147848101
Biloxi-Gulfport,1,11644,1281,0.110013741
Beaumont-Port Arthur,1,12218,1308,0.107055165
Bowling Green,1,68107,10633,0.156121985
Clarksburg-Weston,1,2353,298,0.126646834
"Jackson, TN",1,12946,1665,0.128611154
Lake Charles,1,30386,3410,0.112222734
Ottumwa-Kirksville,1,21671,4117,0.189977389
Medford-Klamath Falls,1,26882,2859,0.106353694
Mankato,1,52209,8830,0.169127928
Panama City,1,171,34,0.198830409
Rockford,1,16551,1861,0.112440336
Traverse City-Cadillac,1,16735,2836,0.169465193
Wausau-Rhinelander,1,27868,4475,0.160578441
Victoria,1,40454,4319,0.106763237
